date,sku_id,product_category,stock_level,reorder_point,units_sold,units_received,overstock_flag,stockout_risk,
01-01-2024,SKU-0001,General Merchandise,549,368,26,0,0,0,
01-01-2024,SKU-0002,Electronics,641,183,34,0,1,0,
01-01-2024,SKU-0003,Electronics,540,168,26,0,0,0,
01-01-2024,SKU-0004,Apparel,836,246,31,77,0,0,
01-01-2024,SKU-0005,Apparel,498,328,21,58,0,0,
01-01-2024,SKU-0006,General Merchandise,423,233,49,0,0,0,
01-01-2024,SKU-0007,Apparel,492,243,32,0,0,0,
01-01-2024,SKU-0008,Apparel,858,355,41,0,0,0,
01-01-2024,SKU-0009,Electronics,786,204,43,0,1,0,
01-01-2024,SKU-0010,Chilled,798,208,45,0,1,0,
01-01-2024,SKU-0011,General Merchandise,450,232,50,0,0,0,
01-01-2024,SKU-0012,Ambient Food,316,263,21,0,0,0,
01-01-2024,SKU-0013,Electronics,648,174,42,0,1,0,
01-01-2024,SKU-0014,Home & Garden,644,121,29,0,1,0,
01-01-2024,SKU-0015,Electronics,374,242,37,62,0,0,
01-01-2024,SKU-0016,Apparel,505,277,29,0,0,0,
01-01-2024,SKU-0017,Ambient Food,446,342,21,75,0,0,
01-01-2024,SKU-0018,Electronics,437,317,25,0,0,0,
01-01-2024,SKU-0019,Electronics,363,348,31,0,0,0,
01-01-2024,SKU-0020,Electronics,873,229,44,51,1,0,
01-01-2024,SKU-0021,General Merchandise,325,238,42,16,0,0,
01-01-2024,SKU-0022,Ambient Food,520,171,36,0,0,0,
01-01-2024,SKU-0023,Chilled,341,161,40,0,0,0,
01-01-2024,SKU-0024,Chilled,808,329,29,0,0,0,
01-01-2024,SKU-0025,Ambient Food,529,347,32,0,0,0,
01-01-2024,SKU-0026,General Merchandise,757,346,43,37,0,0,
01-01-2024,SKU-0027,Ambient Food,474,196,39,61,0,0,
01-01-2024,SKU-0028,Ambient Food,587,316,13,0,0,0,
01-01-2024,SKU-0029,Ambient Food,433,314,24,12,0,0,
01-01-2024,SKU-0030,General Merchandise,717,131,29,0,1,0,
01-01-2024,SKU-0031,Ambient Food,602,397,49,66,0,0,
01-01-2024,SKU-0032,Apparel,502,259,39,51,0,0,
01-01-2024,SKU-0033,Apparel,497,225,37,0,0,0,
01-01-2024,SKU-0034,General Merchandise,692,371,27,0,0,0,
01-01-2024,SKU-0035,Chilled,580,343,39,0,0,0,
01-01-2024,SKU-0036,Ambient Food,434,388,36,0,0,0,
01-01-2024,SKU-0037,Home & Garden,820,295,13,0,0,0,
01-01-2024,SKU-0038,Home & Garden,346,284,41,19,0,0,
01-01-2024,SKU-0039,Electronics,502,130,35,0,1,0,
01-01-2024,SKU-0040,Chilled,351,375,61,18,0,1,
01-01-2024,SKU-0041,Ambient Food,322,379,31,0,0,1,
01-01-2024,SKU-0042,Home & Garden,868,318,19,1,0,0,
01-01-2024,SKU-0043,Apparel,455,346,25,0,0,0,
01-01-2024,SKU-0044,Ambient Food,565,225,30,0,0,0,
01-01-2024,SKU-0045,Ambient Food,819,310,50,8,0,0,
01-01-2024,SKU-0046,Ambient Food,745,193,36,0,1,0,
01-01-2024,SKU-0047,General Merchandise,725,159,29,21,1,0,
01-01-2024,SKU-0048,Apparel,492,313,37,58,0,0,
01-01-2024,SKU-0049,Home & Garden,516,206,25,0,0,0,
01-01-2024,SKU-0050,General Merchandise,296,326,21,0,0,1,
01-01-2024,SKU-0051,General Merchandise,484,226,57,41,0,0,
01-01-2024,SKU-0052,Electronics,411,231,42,75,0,0,
01-01-2024,SKU-0053,Chilled,324,280,44,0,0,0,
01-01-2024,SKU-0054,Chilled,384,300,21,2,0,0,
01-01-2024,SKU-0055,Chilled,538,327,37,0,0,0,
01-01-2024,SKU-0056,Apparel,437,260,46,0,0,0,
01-01-2024,SKU-0057,Apparel,800,247,46,0,0,0,
01-01-2024,SKU-0058,Apparel,412,268,33,18,0,0,
01-01-2024,SKU-0059,General Merchandise,722,238,51,0,0,0,
01-01-2024,SKU-0060,Apparel,828,314,38,0,0,0,
01-01-2024,SKU-0061,General Merchandise,647,360,30,0,0,0,
01-01-2024,SKU-0062,Chilled,446,132,37,0,0,0,
01-01-2024,SKU-0063,Chilled,498,244,37,79,0,0,
01-01-2024,SKU-0064,Ambient Food,803,153,43,0,1,0,
01-01-2024,SKU-0065,Apparel,522,351,20,51,0,0,
01-01-2024,SKU-0066,Apparel,581,131,30,60,1,0,
01-01-2024,SKU-0067,General Merchandise,357,319,13,62,0,0,
01-01-2024,SKU-0068,Chilled,583,296,50,0,0,0,
01-01-2024,SKU-0069,Chilled,440,304,35,0,0,0,
01-01-2024,SKU-0070,Electronics,569,315,30,21,0,0,
01-01-2024,SKU-0071,Chilled,787,130,38,0,1,0,
01-01-2024,SKU-0072,Apparel,308,371,23,10,0,1,
01-01-2024,SKU-0073,Apparel,794,343,18,0,0,0,
01-01-2024,SKU-0074,Ambient Food,788,348,28,0,0,0,
01-01-2024,SKU-0075,Chilled,391,337,13,46,0,0,
01-01-2024,SKU-0076,Ambient Food,666,165,37,0,1,0,
01-01-2024,SKU-0077,Apparel,412,343,30,4,0,0,
01-01-2024,SKU-0078,Home & Garden,422,250,54,5,0,0,
01-01-2024,SKU-0079,Apparel,284,298,65,0,0,1,
