date,warehouse_id,shift,inbound_units,outbound_units,headcount,labour_hours,cost_per_unit_gbp,total_cost_gbp,throughput_rate
01-01-2024,WH-DON-01,Day,971,988,30,230.2,3.238,3199.14,4.29
01-01-2024,WH-DON-01,Night,923,854,22,175.7,2.193,1872.82,4.86
01-01-2024,WH-DON-01,Twilight,770,706,23,130.5,3.05,2153.3,5.41
01-01-2024,WH-DON-02,Day,743,747,29,231.4,3.352,2503.94,3.23
01-01-2024,WH-DON-02,Night,632,643,20,148.7,2.243,1442.25,4.32
01-01-2024,WH-DON-02,Twilight,679,647,29,169.6,2.678,1732.67,3.81
01-01-2024,WH-LEE-01,Day,667,738,48,357.2,3.204,2364.55,2.07
01-01-2024,WH-LEE-01,Night,543,564,24,188.7,2.341,1320.32,2.99
01-01-2024,WH-LEE-01,Twilight,638,596,20,118.1,2.588,1542.45,5.05
02-01-2024,WH-DON-01,Day,901,812,40,299.4,2.162,1755.54,2.71
02-01-2024,WH-DON-01,Night,890,866,21,161.3,3.257,2820.56,5.37
02-01-2024,WH-DON-01,Twilight,895,829,20,119,2.508,2079.13,6.97
02-01-2024,WH-DON-02,Day,696,672,42,331.7,2.783,1870.18,2.03
02-01-2024,WH-DON-02,Night,738,722,28,223.2,3.319,2396.32,3.23
02-01-2024,WH-DON-02,Twilight,709,704,29,169,2.314,1629.06,4.17
02-01-2024,WH-LEE-01,Day,584,590,42,324.9,3.272,1930.48,1.82
02-01-2024,WH-LEE-01,Night,670,695,25,192.7,2.425,1685.37,3.61
02-01-2024,WH-LEE-01,Twilight,565,500,20,111.9,2.068,1034,4.47
03-01-2024,WH-DON-01,Day,833,778,31,239,2.551,1984.68,3.26
03-01-2024,WH-DON-01,Night,898,799,14,105.4,2.121,1694.68,7.58
03-01-2024,WH-DON-01,Twilight,869,730,16,89.7,2.467,1800.91,8.14
03-01-2024,WH-DON-02,Day,578,562,27,199.6,3.13,1759.06,2.82
03-01-2024,WH-DON-02,Night,702,663,26,203.2,2.704,1792.75,3.26
03-01-2024,WH-DON-02,Twilight,569,590,22,123.3,2.41,1421.9,4.79
03-01-2024,WH-LEE-01,Day,670,685,24,182.8,2.701,1850.18,3.75
03-01-2024,WH-LEE-01,Night,699,713,30,221.6,1.861,1326.89,3.22
03-01-2024,WH-LEE-01,Twilight,527,546,24,138.5,2.624,1432.7,3.94
04-01-2024,WH-DON-01,Day,896,795,42,316.3,2.158,1715.61,2.51
04-01-2024,WH-DON-01,Night,883,923,22,163.8,2.436,2248.43,5.63
04-01-2024,WH-DON-01,Twilight,1042,1067,25,149.6,3.075,3281.03,7.13
