shipment_id,ship_date,carrier,origin,destination,expected_delivery,actual_delivery,delay_days,delay_reason,otif,cost_impact_gbp
SHP-1000,01-01-2024,XPO Logistics,Hamburg,Leeds RDC,02-01-2024,02-01-2024,0,On Time,1,0
SHP-1001,01-01-2024,DHL Supply Chain,Rotterdam,Leeds RDC,05-01-2024,05-01-2024,0,On Time,1,0
SHP-1002,01-01-2024,DHL Supply Chain,Hamburg,Leeds RDC,04-01-2024,05-01-2024,1.2,Driver Shortage,0,551.82
SHP-1003,01-01-2024,XPO Logistics,Southampton,Leeds RDC,03-01-2024,04-01-2024,1.6,Customs Hold,0,470.37
SHP-1004,01-01-2024,DHL Supply Chain,Southampton,Manchester DC,03-01-2024,03-01-2024,0,On Time,1,0
SHP-1005,01-01-2024,Wincanton,Southampton,Leeds RDC,04-01-2024,05-01-2024,1.7,Customs Hold,0,759.61
SHP-1006,01-01-2024,CEVA Logistics,Hamburg,Doncaster DC,05-01-2024,05-01-2024,0,On Time,1,0
SHP-1007,02-01-2024,CEVA Logistics,Southampton,Birmingham NDC,07-01-2024,07-01-2024,0,On Time,1,0
SHP-1008,02-01-2024,DHL Supply Chain,Felixstowe,Leeds RDC,06-01-2024,06-01-2024,0.1,On Time,1,19.14
SHP-1009,02-01-2024,CEVA Logistics,Liverpool,Manchester DC,03-01-2024,04-01-2024,1.4,Driver Shortage,0,537.16
SHP-1010,02-01-2024,Kuehne+Nagel,Felixstowe,Manchester DC,05-01-2024,05-01-2024,0,On Time,1,0
SHP-1011,02-01-2024,Kuehne+Nagel,Liverpool,Leeds RDC,06-01-2024,06-01-2024,0,On Time,1,0
SHP-1012,02-01-2024,XPO Logistics,Rotterdam,Birmingham NDC,05-01-2024,05-01-2024,0,On Time,1,0
SHP-1013,03-01-2024,DHL Supply Chain,Southampton,Birmingham NDC,07-01-2024,07-01-2024,0.4,On Time,1,128.08
SHP-1014,03-01-2024,XPO Logistics,Southampton,Manchester DC,04-01-2024,04-01-2024,0,On Time,1,0
SHP-1015,03-01-2024,XPO Logistics,Southampton,Leeds RDC,06-01-2024,06-01-2024,0.4,On Time,1,85.14
SHP-1016,03-01-2024,CEVA Logistics,Felixstowe,Leeds RDC,05-01-2024,07-01-2024,2,Carrier Delay,0,364.04
SHP-1017,03-01-2024,DHL Supply Chain,Southampton,Birmingham NDC,05-01-2024,05-01-2024,0,On Time,1,0
SHP-1018,04-01-2024,Wincanton,Hamburg,Manchester DC,05-01-2024,05-01-2024,0,On Time,1,0
SHP-1019,04-01-2024,CEVA Logistics,Liverpool,Leeds RDC,05-01-2024,06-01-2024,1.2,Port Congestion,0,563.79
SHP-1020,04-01-2024,CEVA Logistics,Hamburg,Doncaster DC,09-01-2024,09-01-2024,0.9,Driver Shortage,1,147.49
SHP-1021,04-01-2024,Kuehne+Nagel,Felixstowe,Manchester DC,05-01-2024,05-01-2024,0,On Time,1,0
SHP-1022,04-01-2024,CEVA Logistics,Southampton,Birmingham NDC,06-01-2024,06-01-2024,0.5,On Time,1,111.05
SHP-1023,04-01-2024,CEVA Logistics,Liverpool,Birmingham NDC,07-01-2024,07-01-2024,0.1,On Time,1,33.01
SHP-1024,04-01-2024,XPO Logistics,Southampton,Manchester DC,05-01-2024,05-01-2024,0,On Time,1,0
SHP-1025,04-01-2024,DHL Supply Chain,Felixstowe,Manchester DC,06-01-2024,06-01-2024,0.8,Documentation Error,1,322.96
SHP-1026,05-01-2024,Wincanton,Hamburg,Leeds RDC,08-01-2024,08-01-2024,0,On Time,1,0
SHP-1027,05-01-2024,Kuehne+Nagel,Felixstowe,Birmingham NDC,08-01-2024,08-01-2024,0.3,On Time,1,138.59
SHP-1028,05-01-2024,DHL Supply Chain,Felixstowe,Manchester DC,10-01-2024,10-01-2024,0.4,On Time,1,88.3
SHP-1029,05-01-2024,DHL Supply Chain,Southampton,Doncaster DC,09-01-2024,09-01-2024,0,On Time,1,0
SHP-1030,05-01-2024,Wincanton,Hamburg,Birmingham NDC,08-01-2024,08-01-2024,0,On Time,1,0
SHP-1031,05-01-2024,Wincanton,Hamburg,Leeds RDC,06-01-2024,06-01-2024,0.2,On Time,1,87.49
SHP-1032,05-01-2024,Wincanton,Rotterdam,Birmingham NDC,09-01-2024,09-01-2024,0,On Time,1,0
SHP-1033,06-01-2024,DHL Supply Chain,Liverpool,Birmingham NDC,08-01-2024,09-01-2024,1.3,Vehicle Breakdown,0,281.07
SHP-1034,06-01-2024,CEVA Logistics,Liverpool,Manchester DC,11-01-2024,11-01-2024,0,On Time,1,0
SHP-1035,06-01-2024,Wincanton,Southampton,Leeds RDC,09-01-2024,09-01-2024,0.2,On Time,1,37.98
SHP-1036,07-01-2024,Wincanton,Rotterdam,Manchester DC,08-01-2024,08-01-2024,0.6,Port Congestion,1,285.09
SHP-1037,08-01-2024,Wincanton,Felixstowe,Birmingham NDC,13-01-2024,13-01-2024,0,On Time,1,0
SHP-1038,08-01-2024,XPO Logistics,Felixstowe,Leeds RDC,10-01-2024,10-01-2024,0,On Time,1,0
SHP-1039,08-01-2024,CEVA Logistics,Southampton,Manchester DC,11-01-2024,12-01-2024,1.3,Documentation Error,0,574.87
SHP-1040,08-01-2024,Wincanton,Hamburg,Leeds RDC,11-01-2024,11-01-2024,0,On Time,1,0
SHP-1041,08-01-2024,DHL Supply Chain,Felixstowe,Doncaster DC,13-01-2024,13-01-2024,0.5,On Time,1,236.98
SHP-1042,08-01-2024,CEVA Logistics,Hamburg,Leeds RDC,13-01-2024,15-01-2024,2.2,Weather Disruption,0,614.87
SHP-1043,08-01-2024,XPO Logistics,Felixstowe,Doncaster DC,11-01-2024,11-01-2024,0,On Time,1,0
SHP-1044,09-01-2024,DHL Supply Chain,Rotterdam,Manchester DC,12-01-2024,12-01-2024,0.2,On Time,1,77.55
SHP-1045,09-01-2024,XPO Logistics,Felixstowe,Leeds RDC,14-01-2024,14-01-2024,0.4,On Time,1,77.81
SHP-1046,09-01-2024,XPO Logistics,Southampton,Birmingham NDC,13-01-2024,13-01-2024,0.7,Driver Shortage,1,175.76
SHP-1047,09-01-2024,DHL Supply Chain,Felixstowe,Doncaster DC,10-01-2024,10-01-2024,0,On Time,1,0
SHP-1048,09-01-2024,CEVA Logistics,Southampton,Birmingham NDC,11-01-2024,11-01-2024,0.5,On Time,1,115.33
SHP-1049,09-01-2024,Wincanton,Felixstowe,Doncaster DC,10-01-2024,10-01-2024,0.4,On Time,1,71.07
SHP-1050,09-01-2024,Kuehne+Nagel,Felixstowe,Doncaster DC,14-01-2024,14-01-2024,0,On Time,1,0
SHP-1051,09-01-2024,Wincanton,Southampton,Manchester DC,11-01-2024,11-01-2024,0.7,Port Congestion,1,167.94
SHP-1052,09-01-2024,Kuehne+Nagel,Southampton,Birmingham NDC,14-01-2024,14-01-2024,0,On Time,1,0
SHP-1053,09-01-2024,CEVA Logistics,Felixstowe,Manchester DC,13-01-2024,13-01-2024,0,On Time,1,0
SHP-1054,09-01-2024,Wincanton,Hamburg,Leeds RDC,14-01-2024,14-01-2024,0,On Time,1,0
SHP-1055,10-01-2024,XPO Logistics,Southampton,Leeds RDC,11-01-2024,12-01-2024,1.1,Carrier Delay,0,353.1
SHP-1056,10-01-2024,Wincanton,Liverpool,Leeds RDC,15-01-2024,17-01-2024,2.3,Port Congestion,0,612.82
SHP-1057,10-01-2024,Wincanton,Hamburg,Manchester DC,14-01-2024,14-01-2024,0,On Time,1,0
SHP-1058,10-01-2024,Wincanton,Southampton,Leeds RDC,12-01-2024,12-01-2024,0,On Time,1,0
SHP-1059,10-01-2024,CEVA Logistics,Felixstowe,Birmingham NDC,15-01-2024,16-01-2024,1.8,Weather Disruption,0,672.84
SHP-1060,10-01-2024,XPO Logistics,Southampton,Leeds RDC,14-01-2024,14-01-2024,0,On Time,1,0
SHP-1061,10-01-2024,DHL Supply Chain,Felixstowe,Doncaster DC,14-01-2024,16-01-2024,2.6,Carrier Delay,0,538.54
SHP-1062,11-01-2024,Wincanton,Southampton,Manchester DC,16-01-2024,17-01-2024,1.8,Driver Shortage,0,351.35
SHP-1063,11-01-2024,Wincanton,Hamburg,Doncaster DC,14-01-2024,14-01-2024,0,On Time,1,0
SHP-1064,11-01-2024,XPO Logistics,Hamburg,Birmingham NDC,12-01-2024,12-01-2024,0,On Time,1,0
SHP-1065,11-01-2024,DHL Supply Chain,Southampton,Birmingham NDC,15-01-2024,15-01-2024,0,On Time,1,0
SHP-1066,11-01-2024,CEVA Logistics,Rotterdam,Leeds RDC,14-01-2024,15-01-2024,1.2,Customs Hold,0,405.04
SHP-1067,11-01-2024,Wincanton,Southampton,Leeds RDC,14-01-2024,14-01-2024,0,On Time,1,0
SHP-1068,11-01-2024,XPO Logistics,Hamburg,Birmingham NDC,13-01-2024,15-01-2024,2.2,Weather Disruption,0,867.53
SHP-1069,11-01-2024,DHL Supply Chain,Felixstowe,Leeds RDC,13-01-2024,14-01-2024,1,Weather Disruption,1,306.8
SHP-1070,12-01-2024,Wincanton,Rotterdam,Doncaster DC,14-01-2024,14-01-2024,0.2,On Time,1,88.49
SHP-1071,12-01-2024,DHL Supply Chain,Felixstowe,Leeds RDC,16-01-2024,16-01-2024,0,On Time,1,0
SHP-1072,12-01-2024,Kuehne+Nagel,Rotterdam,Birmingham NDC,13-01-2024,13-01-2024,0,On Time,1,0
SHP-1073,12-01-2024,Wincanton,Rotterdam,Birmingham NDC,16-01-2024,16-01-2024,0.4,On Time,1,90.68
SHP-1074,12-01-2024,DHL Supply Chain,Felixstowe,Birmingham NDC,15-01-2024,16-01-2024,1.3,Customs Hold,0,347.62
SHP-1075,12-01-2024,Kuehne+Nagel,Southampton,Doncaster DC,16-01-2024,16-01-2024,0,On Time,1,0
SHP-1076,12-01-2024,Wincanton,Liverpool,Leeds RDC,14-01-2024,14-01-2024,0.5,On Time,1,226.45
SHP-1077,12-01-2024,Wincanton,Southampton,Manchester DC,14-01-2024,15-01-2024,1.4,Weather Disruption,0,593.24
SHP-1078,13-01-2024,DHL Supply Chain,Hamburg,Manchester DC,17-01-2024,17-01-2024,0,On Time,1,0
SHP-1079,13-01-2024,Kuehne+Nagel,Southampton,Doncaster DC,15-01-2024,17-01-2024,2,Port Congestion,0,584.89
SHP-1080,13-01-2024,CEVA Logistics,Hamburg,Manchester DC,18-01-2024,18-01-2024,0.8,Driver Shortage,1,344.9
SHP-1081,14-01-2024,Kuehne+Nagel,Liverpool,Manchester DC,18-01-2024,18-01-2024,0,On Time,1,0
SHP-1082,14-01-2024,DHL Supply Chain,Southampton,Doncaster DC,19-01-2024,19-01-2024,0,On Time,1,0
SHP-1083,15-01-2024,DHL Supply Chain,Felixstowe,Leeds RDC,19-01-2024,19-01-2024,0,On Time,1,0
SHP-1084,15-01-2024,Kuehne+Nagel,Rotterdam,Birmingham NDC,16-01-2024,16-01-2024,0.9,Customs Hold,1,387.29
SHP-1085,15-01-2024,Kuehne+Nagel,Hamburg,Doncaster DC,19-01-2024,20-01-2024,1.2,Carrier Delay,0,403.23
