date,warehouse_id,shift,orders_received,orders_fulfilled,fulfillment_rate,pick_accuracy,units_per_hour,dock_to_stock_hrs,sla_met
01-01-2024,WH-DON-01,Day,415,387,0.9334,0.9772,102.6,3.64,0
01-01-2024,WH-DON-01,Night,414,408,0.9858,0.9734,79.9,1.31,1
01-01-2024,WH-DON-01,Twilight,426,388,0.9123,0.9766,98.5,3.16,0
01-01-2024,WH-DON-02,Day,344,319,0.9287,0.9875,106,1.22,0
01-01-2024,WH-DON-02,Night,325,305,0.9389,0.9754,102.8,2.41,0
01-01-2024,WH-DON-02,Twilight,266,244,0.9179,0.9737,107.8,3.37,0
01-01-2024,WH-LEE-01,Day,327,312,0.9556,0.9982,85.8,3.19,1
01-01-2024,WH-LEE-01,Night,264,258,0.9805,0.9883,98.7,3.28,1
01-01-2024,WH-LEE-01,Twilight,307,285,0.9294,0.9791,71.8,2.04,0
02-01-2024,WH-DON-01,Day,411,377,0.9186,0.9788,97.9,2.51,0
02-01-2024,WH-DON-01,Night,405,377,0.9327,0.9972,89.6,3.39,0
02-01-2024,WH-DON-01,Twilight,434,401,0.9245,0.9914,75.7,2.57,0
02-01-2024,WH-DON-02,Day,352,336,0.9573,0.9902,107.6,3.99,1
02-01-2024,WH-DON-02,Night,307,285,0.9295,0.9719,75.4,2.16,0
02-01-2024,WH-DON-02,Twilight,327,321,0.9845,0.9798,98.8,2.62,1
02-01-2024,WH-LEE-01,Day,379,374,0.9877,0.9838,80.4,2.09,1
02-01-2024,WH-LEE-01,Night,288,276,0.9597,0.9961,79,1.99,1
02-01-2024,WH-LEE-01,Twilight,301,299,0.9948,0.9853,72.3,1.37,1
03-01-2024,WH-DON-01,Day,452,441,0.9773,0.9828,71,2.57,1
03-01-2024,WH-DON-01,Night,446,443,0.9947,0.9858,103.4,4.3,1
03-01-2024,WH-DON-01,Twilight,467,452,0.9679,0.986,80.5,3.51,1
03-01-2024,WH-DON-02,Day,313,287,0.9195,0.9832,89.3,4.63,0
03-01-2024,WH-DON-02,Night,326,310,0.9525,0.976,100.9,4.33,1
